,Timestamp,Temperature (Â°C)
23,2025-03-18 23:00:00,-2.5
24,2025-03-19 00:00:00,-2.9
25,2025-03-19 01:00:00,-3.1
26,2025-03-19 02:00:00,-3.2
27,2025-03-19 03:00:00,-3.4
28,2025-03-19 04:00:00,-3.7
29,2025-03-19 05:00:00,-4.0
30,2025-03-19 06:00:00,-4.3
31,2025-03-19 07:00:00,-4.5
32,2025-03-19 08:00:00,-4.7
33,2025-03-19 09:00:00,-4.4
34,2025-03-19 10:00:00,-2.9
35,2025-03-19 11:00:00,-0.8
36,2025-03-19 12:00:00,0.4
37,2025-03-19 13:00:00,1.1
38,2025-03-19 14:00:00,1.5
39,2025-03-19 15:00:00,1.9
40,2025-03-19 16:00:00,2.1
41,2025-03-19 17:00:00,2.0
42,2025-03-19 18:00:00,1.6
43,2025-03-19 19:00:00,0.6
44,2025-03-19 20:00:00,-0.6
45,2025-03-19 21:00:00,-1.7
46,2025-03-19 22:00:00,-2.5
