Forecast Transaction Date,Min,Most Likely,Max,Actual,MCR,Pct Min,Pct Most Likely,Pct Max
2025-03-06 22:20,1041.86,1886.19,2428.21,2079.64,5688,18.32,33.16,42.69
2025-03-06 22:30,1218.34,2090.48,2659.32,2211.32,5688,21.42,36.75,46.75
2025-03-06 22:40,1293.75,2193.71,2789.37,2373.11,5688,22.75,38.57,49.04
2025-03-06 22:50,1501.35,2429.12,3051.61,2453.06,5688,26.4,42.71,53.65
2025-03-06 23:00,1536.82,2475.49,3101.46,2515.31,5688,27.02,43.52,54.53
2025-03-06 23:10,1605.82,2533.81,3135.65,2560.04,5688,28.23,44.55,55.13
2025-03-06 23:20,1680.62,2597.93,3175.64,2612.44,5688,29.55,45.67,55.83
2025-03-06 23:30,1708.6,2615.21,3168.8,2691.69,5688,30.04,45.98,55.71
2025-03-06 23:40,1750.14,2705.79,3175.53,2777.98,5688,30.77,47.57,55.83
2025-03-06 23:50,1829.48,2777.85,3220.06,2833.2,5688,32.16,48.84,56.61
2025-03-07 00:00,1904.4,2844.66,3270.95,2894.73,5688,33.48,50.01,57.51
2025-03-07 00:10,1949.38,2886.05,3306.49,2944.42,5688,34.27,50.74,58.13
2025-03-07 00:20,2048.74,2981.82,3407.12,,5688,36.02,52.42,59.9
2025-03-07 00:30,2069.58,2999.06,3431.36,,5688,36.39,52.73,60.33
2025-03-07 00:40,2091.02,3016.92,3456.2,,5688,36.76,53.04,60.76
2025-03-07 00:50,2113.05,3035.36,3481.64,,5688,37.15,53.36,61.21
2025-03-07 01:00,2129.39,3047.51,3496.68,,5688,37.44,53.58,61.47
2025-03-07 01:10,2138.61,3051.82,3498.85,,5688,37.6,53.65,61.51
2025-03-07 01:20,2148.39,3056.69,3501.59,,5688,37.77,53.74,61.56
2025-03-07 01:30,2158.72,3062.1,3504.87,,5688,37.95,53.83,61.62
2025-03-07 01:40,2169.58,3068.05,3508.68,,5688,38.14,53.94,61.69
2025-03-07 01:50,2180.96,3074.51,3513.01,,5688,38.34,54.05,61.76
2025-03-07 02:00,2181.45,3080.74,3518.8,,5688,38.35,54.16,61.86
2025-03-07 02:10,2168.53,3086.56,3526.26,,5688,38.12,54.26,61.99
2025-03-07 02:20,2156.08,3092.85,3534.19,,5688,37.91,54.38,62.13
2025-03-07 02:30,2144.09,3099.6,3542.58,,5688,37.69,54.49,62.28
2025-03-07 02:40,2132.54,3106.79,3551.41,,5688,37.49,54.62,62.44
2025-03-07 02:50,2121.43,3114.42,3560.67,,5688,37.3,54.75,62.6
2025-03-07 03:00,2108.42,3120.5,3571.23,,5688,37.07,54.86,62.79
2025-03-07 03:10,2092.98,3124.58,3583.27,,5688,36.8,54.93,63
2025-03-07 03:20,2077.94,3129.06,3595.69,,5688,36.53,55.01,63.22
2025-03-07 03:30,2063.27,3133.9,3608.49,,5688,36.27,55.1,63.44
2025-03-07 03:40,2048.96,3139.11,3621.66,,5688,36.02,55.19,63.67
2025-03-07 03:50,2035.01,3144.68,3635.17,,5688,35.78,55.29,63.91
2025-03-07 04:00,2018.41,3143.97,3633.4,,5688,35.49,55.27,63.88
2025-03-07 04:10,1998.5,3135.52,3612.87,,5688,35.14,55.13,63.52
2025-03-07 04:20,1978.9,3127.38,3592.65,,5688,34.79,54.98,63.16
2025-03-07 04:30,1959.6,3119.55,3572.74,,5688,34.45,54.84,62.81
2025-03-07 04:40,1940.6,3112,3553.11,,5688,34.12,54.71,62.47
2025-03-07 04:50,1921.87,3104.74,3533.77,,5688,33.79,54.58,62.13
2025-03-07 05:00,1907.05,3088.74,3500.07,,5688,33.53,54.3,61.53
2025-03-07 05:10,1896.85,3061.9,3450.12,,5688,33.35,53.83,60.66
2025-03-07 05:20,1882.85,3031.28,3407.23,,5688,33.1,53.29,59.9
2025-03-07 05:30,1867.18,2998.97,3367.06,,5688,32.83,52.72,59.2
2025-03-07 05:40,1852.14,2967.31,3330.25,,5688,32.56,52.17,58.55
2025-03-07 05:50,1837.71,2936.25,3294.04,,5688,32.31,51.62,57.91
2025-03-07 06:00,1824.51,2899.6,3258.74,,5688,32.08,50.98,57.29
2025-03-07 06:10,1812.65,2855.97,3224.4,,5688,31.87,50.21,56.69
2025-03-07 06:20,1801.32,2812.85,3190.58,,5688,31.67,49.45,56.09
2025-03-07 06:30,1790.47,2770.23,3157.26,,5688,31.48,48.7,55.51
2025-03-07 06:40,1780.11,2728.09,3124.41,,5688,31.3,47.96,54.93
2025-03-07 06:50,1770.19,2686.39,3092,,5688,31.12,47.23,54.36
2025-03-07 07:00,1748.46,2639.87,3061.18,,5688,30.74,46.41,53.82
2025-03-07 07:10,1712.17,2587.34,3032.16,,5688,30.1,45.49,53.31
2025-03-07 07:20,1676.28,2535.19,3003.53,,5688,29.47,44.57,52.8
2025-03-07 07:30,1640.75,2483.41,2975.27,,5688,28.85,43.66,52.31
2025-03-07 07:40,1605.56,2431.98,2947.36,,5688,28.23,42.76,51.82
2025-03-07 07:50,1570.71,2380.89,2919.78,,5688,27.61,41.86,51.33
2025-03-07 08:00,1512.46,2316.13,2874.26,,5688,26.59,40.72,50.53
2025-03-07 08:10,1431.3,2240.39,2812.55,,5688,25.16,39.39,49.45
2025-03-07 08:20,1350.43,2164.93,2751.11,,5688,23.74,38.06,48.37
2025-03-07 08:30,1269.83,2089.75,2689.95,,5688,22.32,36.74,47.29
2025-03-07 08:40,1189.48,2014.82,2629.03,,5688,20.91,35.42,46.22
2025-03-07 08:50,1109.37,1940.13,2568.37,,5688,19.5,34.11,45.15
2025-03-07 09:00,1065.55,1865.57,2506.27,,5688,18.73,32.8,44.06
2025-03-07 09:10,1068.4,1793.51,2444.76,,5688,18.78,31.53,42.98
2025-03-07 09:20,1071.46,1721.66,2383.47,,5688,18.84,30.27,41.9
2025-03-07 09:30,1074.72,1650.01,2322.37,,5688,18.89,29.01,40.83
2025-03-07 09:40,1078.17,1578.55,2261.45,,5688,18.96,27.75,39.76
2025-03-07 09:50,1081.8,1507.26,2200.72,,5688,19.02,26.5,38.69
2025-03-07 10:00,1092.99,1458.38,2138.04,,5688,19.22,25.64,37.59
2025-03-07 10:10,1111.94,1436.87,2072.97,,5688,19.55,25.26,36.44
2025-03-07 10:20,1121.46,1417.04,2009.58,,5688,19.72,24.91,35.33
2025-03-07 10:30,1108.85,1398.1,1947.08,,5688,19.49,24.58,34.23
2025-03-07 10:40,1070.83,1379.16,1885.32,,5688,18.83,24.25,33.15
2025-03-07 10:50,1032.8,1360.22,1829.19,,5688,18.16,23.91,32.16
2025-03-07 11:00,1011.98,1358.7,1804.14,,5688,17.79,23.89,31.72
2025-03-07 11:10,1012.19,1378.49,1815.72,,5688,17.8,24.24,31.92
2025-03-07 11:20,1012.4,1398.27,1827.29,,5688,17.8,24.58,32.13
2025-03-07 11:30,1012.6,1418.06,1838.87,,5688,17.8,24.93,32.33
2025-03-07 11:40,1012.81,1437.84,1850.45,,5688,17.81,25.28,32.53
2025-03-07 11:50,1013.02,1457.63,1862.02,,5688,17.81,25.63,32.74
2025-03-07 12:00,1020.67,1480.2,1873.91,,5688,17.94,26.02,32.94
2025-03-07 12:10,1037.42,1506.18,1886.18,,5688,18.24,26.48,33.16
